time: 18.1900 , HR: 75.78 
time: 18.2625 , HR: 75.80 
time: 18.3226 , HR: 75.88 
time: 18.4044 , HR: 75.70 
time: 18.4774 , HR: 75.59 
time: 18.5460 , HR: 75.63 
time: 18.6029 , HR: 75.74 
time: 18.6681 , HR: 75.74 
time: 18.7499 , HR: 75.54 
time: 18.8456 , HR: 75.35 
time: 18.9090 , HR: 75.39 
time: 18.9783 , HR: 75.33 
time: 19.0408 , HR: 75.31 
time: 19.1276 , HR: 75.23 
time: 19.1916 , HR: 75.19 
time: 19.2572 , HR: 75.25 
time: 19.3198 , HR: 52.67 
time: 19.4025 , HR: 75.13 
time: 19.4657 , HR: 75.11 
time: 19.5318 , HR: 75.22 
time: 19.5936 , HR: 75.30 
time: 19.6761 , HR: 75.23 
time: 19.7563 , HR: 76.48 
time: 19.8256 , HR: 76.59 
time: 19.8854 , HR: 76.72 
time: 19.9691 , HR: 76.64 
time: 20.0321 , HR: 76.81 
time: 20.1062 , HR: 53.75 
time: 20.1690 , HR: 53.72 
time: 20.2345 , HR: 53.73 
time: 20.3138 , HR: 53.77 
time: 20.3855 , HR: 53.86 
time: 20.4510 , HR: 53.85 
time: 20.5176 , HR: 53.97 
time: 20.6036 , HR: 54.29 
time: 20.6737 , HR: 54.33 
time: 20.7324 , HR: 54.51 
time: 20.8001 , HR: 55.02 
time: 20.8842 , HR: 55.12 
time: 20.9534 , HR: 55.32 
time: 21.0106 , HR: 55.48 
time: 21.0755 , HR: 55.64 
time: 21.1402 , HR: 55.86 
time: 21.2236 , HR: 55.99 
time: 21.2960 , HR: 55.98 
time: 21.3637 , HR: 56.02 
time: 21.4241 , HR: 56.02 
time: 21.5108 , HR: 56.09 
time: 21.5762 , HR: 56.09 
time: 21.6436 , HR: 56.09 
time: 21.7099 , HR: 56.05 
time: 21.8042 , HR: 56.07 
time: 21.8691 , HR: 56.08 
time: 21.9361 , HR: 56.12 
time: 22.0017 , HR: 56.10 
time: 22.0986 , HR: 56.04 
time: 22.1629 , HR: 56.07 
time: 22.2298 , HR: 56.13 
time: 22.2961 , HR: 56.20 
time: 22.3840 , HR: 56.20 
time: 22.4688 , HR: 56.09 
time: 22.5439 , HR: 56.06 
time: 22.6070 , HR: 56.05 
time: 22.7114 , HR: 55.93 
time: 22.7841 , HR: 55.89 
time: 22.8576 , HR: 55.83 
time: 22.9203 , HR: 55.86 
time: 23.0235 , HR: 55.78 
time: 23.0936 , HR: 55.78 
time: 23.1704 , HR: 55.76 
time: 23.2300 , HR: 55.78 
time: 23.3207 , HR: 63.89 
time: 23.3996 , HR: 63.98 
time: 23.4753 , HR: 64.09 
time: 23.5403 , HR: 64.46 
time: 23.6253 , HR: 64.68 
time: 23.6888 , HR: 81.10 
time: 23.7640 , HR: 122.34 
time: 23.8252 , HR: 123.20 
time: 23.9094 , HR: 123.27 
time: 23.9793 , HR: 123.46 
time: 24.0483 , HR: 123.60 
time: 24.1081 , HR: 123.87 
time: 24.1909 , HR: 123.83 
time: 24.2602 , HR: 124.37 
time: 24.3298 , HR: 125.00 
time: 24.3915 , HR: 75.29 
time: 24.4770 , HR: 75.38 
time: 24.5595 , HR: 117.41 
time: 24.6314 , HR: 75.34 
time: 24.6916 , HR: 75.41 
time: 24.7801 , HR: 75.40 
time: 24.8508 , HR: 75.43 
time: 24.9237 , HR: 75.29 
time: 24.9875 , HR: 75.31 
time: 25.0840 , HR: 75.16 
time: 25.1686 , HR: 75.03 
time: 25.2434 , HR: 74.97 
time: 25.3375 , HR: 74.73 
time: 25.4542 , HR: 74.34 
time: 25.5303 , HR: 74.30 
time: 25.5990 , HR: 74.21 
time: 25.6796 , HR: 74.23 
time: 25.7545 , HR: 74.21 
time: 25.8161 , HR: 74.28 
time: 25.8839 , HR: 74.17 
time: 25.9638 , HR: 74.02 
time: 26.0378 , HR: 74.10 
time: 26.0983 , HR: 74.45 
time: 26.1657 , HR: 74.41 
time: 26.2324 , HR: 74.44 
time: 26.3141 , HR: 74.24 
time: 26.3798 , HR: 74.46 
time: 26.4488 , HR: 74.41 
time: 26.5109 , HR: 74.44 
time: 26.5977 , HR: 74.20 
time: 26.6640 , HR: 156.99 
time: 26.7341 , HR: 156.84 
time: 26.7927 , HR: 157.01 
time: 26.8881 , HR: 156.28 
time: 26.9536 , HR: 74.20 
time: 27.0227 , HR: 74.31 
time: 27.0832 , HR: 74.40 
time: 27.1693 , HR: 74.14 
time: 27.2334 , HR: 156.93 
time: 27.2997 , HR: 156.86 
time: 27.3610 , HR: 99.24 
time: 27.4275 , HR: 157.06 
time: 27.5080 , HR: 156.73 
time: 27.5829 , HR: 156.83 
time: 27.6409 , HR: 99.24 
time: 27.7079 , HR: 99.21 
time: 27.7892 , HR: 99.02 
time: 27.8611 , HR: 99.21 
time: 27.9188 , HR: 99.38 
time: 27.9849 , HR: 99.28 
time: 28.0699 , HR: 99.04 
time: 28.1370 , HR: 99.27 
time: 28.1934 , HR: 99.45 
time: 28.2608 , HR: 99.31 
time: 28.3322 , HR: 99.22 
time: 28.4251 , HR: 98.84 
time: 28.4945 , HR: 99.02 
time: 28.5617 , HR: 99.10 
time: 28.6215 , HR: 99.20 
time: 28.7044 , HR: 98.90 
time: 28.7708 , HR: 99.17 
time: 28.8371 , HR: 99.16 
time: 28.8986 , HR: 99.24 
time: 28.9976 , HR: 98.80 
time: 29.0616 , HR: 99.21 
time: 29.1277 , HR: 99.19 
time: 29.1896 , HR: 57.90 
time: 29.2874 , HR: 156.47 
time: 29.3543 , HR: 157.12 
time: 29.4200 , HR: 157.09 
time: 29.4831 , HR: 57.90 
time: 29.5654 , HR: 57.78 
time: 29.6283 , HR: 57.98 
time: 29.6933 , HR: 91.35 
time: 29.7569 , HR: 91.50 
time: 29.8217 , HR: 58.21 
time: 29.9102 , HR: 50.01 
time: 29.9806 , HR: 50.02 
time: 30.0403 , HR: 50.12 
time: 30.1123 , HR: 50.06 
time: 30.1941 , HR: 50.20 
time: 30.2654 , HR: 50.20 
time: 30.3249 , HR: 50.32 
time: 30.3898 , HR: 92.18 
time: 30.4736 , HR: 92.27 
time: 30.5442 , HR: 151.16 
time: 30.6012 , HR: 151.56 
time: 30.6700 , HR: 151.48 
time: 30.7353 , HR: 151.90 
time: 30.8188 , HR: 84.15 
